Airline,Duration,Total stops,Price,Date,Source,Destination
Air India,29h 05m,2 stops,"₹ 36,733",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 36,733",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 45,986",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 45,986",2023-06-01,CCJ,DXB
Air India,25h 40m,3 stops,"₹ 46,502",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 48,768",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 49,027",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 49,027",2023-06-01,CCJ,DXB
Air India,28h 00m,3 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,3 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,20h 25m,2 stops,"₹ 51,378",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",13h 30m,2 stops,"₹ 59,086",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",17h 40m,2 stops,"₹ 59,086",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",19h 15m,2 stops,"₹ 59,086",2023-06-01,CCJ,DXB
Qatar Airways,25h 05m,1 stop,"₹ 61,269",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",25h 00m,2 stops,"₹ 62,199",2023-06-01,CCJ,DXB
